tag,taxonomy_id
Hair,d6a7M7r9MMrpf7z7VxW9ZS
Heads (Body),s5NLP7BS9PRLKvUVca4XKg
Classic Faces,9atv5s8UMicJWBZXYMTjWH
T-Shirts,fLRqNzGqjX7MzcqeMro9hc
Shirts,pJ71PxerdfEuarTNRtSZYs
Sweaters,31M6WgEMmyq9TTfk3pUUpZ
Jackets,kPZpEVNdProGcqMbj1jDKJ
Pants,1MvRtnnsy2FJWmkErSBxBa
Shorts,etAPg889P243JyjdbZCXhw
DressesSkirts,oSSCBSqkQPZu6HataAUAxB
Bodysuits,u5jaNLyf2ZhvR95GS37ui5
Shoes,uLRgNoJ1awZkhpVw9WyvKo
Classic Shirts,2a2rf9qyeTd8W5iegK2Prc
Classic T-Shirts,43H35nJKHzCQM63q3wPaJG
Classic Pants,49cFNAJWuwiJJVUSADG6DR
Head (Accessory),thukPQUFe5EHxRrtsgq43u
Face (Accessory),b5rkQhGSfwhfTK177y6ERa
Neck Accessory,tvckLAbtDAGwF9Y2sph2Ce
Shoulder Accessory,8i1sggNTrxoN799hpRrR1S
Front Accessory,kj535RzJxHTCnXPBLo5KaE
Back Accessory,7yGywzp5JeDsNjhXWJqSw3
Waist Accessory,6jYQPDtkVwQZcKtvVpyYAN
Emotes,ioNxAT977DFP2hMnAJbsbF
